type,name,notice,furigana
資源ごみ,カップ麺の包装フィルム,,か
資源ごみ,カップ麺の容器（プラスチック製）,,か
資源ごみ,家庭用焼却炉（金属以外、７０㎝以下）,,か
資源ごみ,家庭用焼却炉（金属製）,,か
資源ごみ,金網（バーベキュー用）,,か
資源ごみ,かなづち,全体の８０％以上金属のものは、埋立ごみの日の金属へ,か
資源ごみ,かばん（アタッシュケース）（金属製）,,か
資源ごみ,花瓶,,か
資源ごみ,鎌,刃を紙で包み「危険」と表示して他のごみと分ける,か
資源ごみ,カミソリ（金属以外）,刃を紙で包み「危険」と表示して他のごみと分ける,か
資源ごみ,カミソリ（金属製）,刃を紙で包み「危険」と表示して他のごみと分ける,か
資源ごみ,神棚（７０㎝超）,,か
資源ごみ,カメラ,,か
資源ごみ,カラオケ演奏装置（７０㎝以下）,,か
資源ごみ,ガラス製品,,か
資源ごみ,軽石,,か
資源ごみ,カレーのプラスチック容器,,か
資源ごみ,皮むき器(金属製）,,か
資源ごみ,瓦,増改築に伴うものは請け負った業者に処分してもらう,か
資源ごみ,缶（一斗缶）,,か
資源ごみ,缶（２５㎝以上）,,か
資源ごみ,缶（オイル）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,か
資源ごみ,缶（菓子缶：ミルク缶など、２５㎝以上）,,か
資源ごみ,缶（飲料缶・缶詰）,,か
資源ごみ,缶（菓子缶・ミルク缶など、２５㎝未満）,,か
資源ごみ,缶（酒缶・燗のできるもの）,,か
資源ごみ,缶（スプレー缶）,使い切ってから火気のない屋外で穴をあける,か
資源ごみ,換気扇,,か
資源ごみ,缶切り,,か
資源ごみ,乾燥機（家庭用・食器）,,か
資源ごみ,乾燥機（家庭用・食器洗い）,,か
資源ごみ,乾燥機（家庭用・布団）,,か
資源ごみ,乾電池,,か
資源ごみ,かんな,,か
資源ごみ,キーボード（楽器、７０㎝以下）,,き
資源ごみ,キーボード（パソコン用）,,き
資源ごみ,ギターケース（７０㎝超）,,き
資源ごみ,キックボード,全体の８０％以上金属のものは、埋立ごみの日の金属へ,き
資源ごみ,キッチン収納棚（金属以外、７０㎝以下）,,き
資源ごみ,キッチン収納棚（金属製）,,き
資源ごみ,杵,,き
資源ごみ,脚立（金属以外）,,き
資源ごみ,脚立（金属製）,,き
資源ごみ,キャスターハンガー（金属以外、７０㎝以下）,,き
資源ごみ,キャスターハンガー（金属製）,,き
資源ごみ,キャップ（金属製）,,き
資源ごみ,キャビネット（金属以外、７０㎝以下）,,き
資源ごみ,キャビネット（金属製）,,き
資源ごみ,キャラメルの包装フィルム,,き
資源ごみ,キャリアー（車用、金属以外）,７０㎝を超えるルーフボックスは有料粗大ごみ,き
資源ごみ,キャリアー（車用、金属製）,,き
資源ごみ,急須,,き
資源ごみ,給湯器,電池はとる,き
資源ごみ,鏡台（７０㎝以下）,,き
資源ごみ,きり,先端部を紙で包み「危険」と表示して他のごみと分ける,き
資源ごみ,金庫（耐火）,おおむね５５㎏以上のものは市では収集できません　,き
資源ごみ,金庫（手提げ）,,き
資源ごみ,空気入れ（金属製）,,く
資源ごみ,空気清浄機,,く
資源ごみ,釘,紙で包み「危険」と表示,く
資源ごみ,草刈り機（手動式）,,く
資源ごみ,鎖（金属製）,,く
資源ごみ,串(金属製）,紙で包み「危険」と表示,く
資源ごみ,薬のシート,,く
資源ごみ,口紅の容器（プラスチック製）,,く
資源ごみ,口紅の容器（金属製）,,く
資源ごみ,くつ（スキーブーツ・スケート靴）,,く
資源ごみ,くつのスパイク（金属製）,,く
資源ごみ,クッキングヒーター,,く
資源ごみ,クッション（７０㎝超）,,く
資源ごみ,グランドゴルフスティック,,く
資源ごみ,グリル鍋（金属以外）,,く
資源ごみ,グリル鍋（金属製）,,く
資源ごみ,車(幼児用）（金属製または電動製）,電池で動くものは、電池をとる。,く
資源ごみ,車(幼児用）（「金属製または電動製」以外・７０㎝超),,く
資源ごみ,車椅子（折りたたみ式・電動式）,電動式はバッテリーを外す,く
資源ごみ,グローランプ,,く
資源ごみ,くわ（鍬）,,く
資源ごみ,蛍光灯（本体）,,け
資源ごみ,蛍光灯(管）,,け
資源ごみ,携帯電話,販売店に引き取りを依頼してください,け
資源ごみ,ゲートボールスティック,,け
資源ごみ,ケーブル,,け
資源ごみ,ケーブルテレビ用セットトップボックス,レンタルの場合は、借りたお店に返却してください,け
資源ごみ,ゲーム機（ＴＶゲーム・ポケットゲーム）,,け
資源ごみ,ゲーム用コントローラー,,け
資源ごみ,化粧品のガラスびん,,け
資源ごみ,化粧品のプラスチックボトル,キャップを外す,け
資源ごみ,化粧容器（金属製）,,け
資源ごみ,化粧容器（プラスチック製）,,け
資源ごみ,げた箱（金属製）,増改築に伴うものは請け負った業者に処分してもらう,け
資源ごみ,血圧計（デジタル式）,電池はとる,け
資源ごみ,健康増進器具（金属以外）,プラスチック製、ゴム製のものは燃やすごみ、電動のものは埋立ごみの日の金属へ,け
資源ごみ,健康増進器具（金属製）,,け
資源ごみ,剣道用具（竹刀、７０㎝超）,,け
資源ごみ,剣道用具（面）,,け
資源ごみ,碁石,,こ
資源ごみ,公衆用ＰＨＳ端末,,こ
資源ごみ,紅茶のプラスチック容器,,こ
資源ごみ,コード,,こ
資源ごみ,コートハンガー（金属製）,,こ
資源ごみ,コーヒーメーカー,,こ
資源ごみ,こたつ（７０㎝以下）,,こ
資源ごみ,コップ（ガラス製）,,こ
資源ごみ,琴,,こ
資源ごみ,粉々のびん,,こ
資源ごみ,碁盤（厚さ１０㎝以上）,,こ
資源ごみ,コピー機（家庭用）,,こ
資源ごみ,ごみ箱(金属製）,,こ
資源ごみ,ゴムホース（７０㎝超）,伸ばしたときに７０㎝を超えているものは、埋立ごみ,こ
資源ごみ,ゴムボート,空気を抜いて,こ
資源ごみ,米袋,紙製のものはダンボールと同じ扱い,こ
資源ごみ,米びつ（金属製）,,こ
資源ごみ,コルクボード（７０㎝超）,,こ
資源ごみ,ゴルフクラブ,カーボン製は埋立ごみ,こ
資源ごみ,ゴルフバック,,こ
資源ごみ,コンパクト,,こ
資源ごみ,コンポスト容器（７０㎝超）,,こ
資源ごみ,コンロ（バーベキュー用）,,こ
資源ごみ,サイクリングマシン（「金属以外、７０㎝超」以外）,,さ
資源ごみ,座いす（金属以外、７０㎝以下）,,さ
資源ごみ,座いす（金属製）,,さ
資源ごみ,サイドボード（７０㎝以下）,,さ
資源ごみ,裁縫箱（金属製）,,さ
資源ごみ,魚のトレイ,スーパーの店頭回収をご利用ください,さ
資源ごみ,魚の包装フィルム,,さ
資源ごみ,さしこ（竹製鳥かご、７０㎝超）,,さ
資源ごみ,サッシ（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,さ
資源ごみ,サッシ（金属製）,増改築に伴うものは請け負った業者に処分してもらう　　,さ
資源ごみ,座ぶとん（７０㎝超）,,さ
資源ごみ,皿,,さ
資源ごみ,サラダ油のびん,キャップを外してひと洗い,さ
資源ごみ,三角コーナー（金属製）,,さ
資源ごみ,三脚（カメラ、ビデオ）（金属以外）,,さ
資源ごみ,三脚（カメラ、ビデオ）（金属製）,,さ
資源ごみ,サングラス,レンズがプラスチック製のものは、燃やすごみ,さ
資源ごみ,さんご,,さ
資源ごみ,三輪車,「不用品」と必ず表示,さ
資源ごみ,CSデジタルアンテナ,,し
資源ごみ,CSデジタルチューナー,,し
資源ごみ,ＣＤプレーヤー,,し
資源ごみ,ＣＤラジカセ,,し
資源ごみ,シーツ（７０㎝超）,１辺７０ｃｍ以下に裁断すれば、燃やすごみ,し
資源ごみ,シート（車）,,し
資源ごみ,磁気マットレス（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,し
資源ごみ,磁石,,し
資源ごみ,七輪,,し
資源ごみ,湿布剤のフィルム,,し
資源ごみ,自転車,「不用品」と必ず表示,し
資源ごみ,自転車（電動アシスト付き）,「不用品」と必ず表示・バッテリーは、リサイクル協力店へ,し
資源ごみ,自動車カバー（７０㎝超）,１辺７０ｃｍ以下に裁断すれば、燃やすごみ,し
資源ごみ,竹刀（７０㎝超）,,し
資源ごみ,蛇口,,し
資源ごみ,ジャッキ,,し
資源ごみ,ジャングルジム（子ども用遊具）,パイプがプラスチック製または紙製でかつ７０㎝以下ものは燃やすごみ,し
資源ごみ,シャンデリア（７０㎝以下）,電球は外す,し
資源ごみ,シャンプードレッサー（７０㎝以下）,,し
資源ごみ,シャンプーのプラスチックボトル,キャップを外す,し
資源ごみ,ジューサー,,し
資源ごみ,ジュースのびん,キャップを外してひと洗い,し
資源ごみ,シューズボックス（金属製）,増改築に伴うものは請け負った業者に処分してもらう,し
資源ごみ,充電式電池,電池リサイクル協力店でも回収しています,し
資源ごみ,収納ケース・箱・ボックス（金属製）,,し
資源ごみ,収納棚（金属製）,,し
資源ごみ,将棋盤（厚さ１0㎝以上）,,し
資源ごみ,障子（金属製）,増改築に伴うものは請け負った業者に処分してもらう,し
資源ごみ,浄水器,,し
資源ごみ,照明器具（「金属以外、７０㎝超」以外）,電球は外す,し
資源ごみ,照明器具のかさ（ガラス製）,,し
資源ごみ,照明器具のかさ（金属製）,,し
資源ごみ,じょうろ(金属製）,,し
資源ごみ,食品のトレイ,スーパーの店頭回収をご利用ください,し
資源ごみ,食用油のプラスチックボトル,キャップを外す　　,し
資源ごみ,除湿機,「除湿機」と必ず表示,し
資源ごみ,書棚（金属製）,,し
資源ごみ,食器（ガラス製・陶磁器製）,,し
資源ごみ,食器（金属製）,,し
資源ごみ,食器洗い乾燥機,,し
資源ごみ,食器洗い器,,し
資源ごみ,食器乾燥機,,し
資源ごみ,食器棚（７０㎝以下）,,し
資源ごみ,ショッピングカート(金属製）,,し
資源ごみ,書類用バインダーの金具,,し
資源ごみ,シルバーカー,「不用品」と必ず表示,し
資源ごみ,人工芝（７０㎝超）,,し
資源ごみ,水槽（７０㎝以下）,,す
資源ごみ,水中めがね,レンズがプラスチック製のものは、燃やすごみ,す
資源ごみ,水筒（金属製）,,す
資源ごみ,炊飯器（内釜含む）,,す
資源ごみ,スーツケース（金属製）,,す
資源ごみ,スーパーの袋（レジ袋）,,す
資源ごみ,姿見（７０㎝以下）,,す
資源ごみ,スキー板（７０㎝以下）,,す
資源ごみ,スキーキャリア（金属以外）,,す
資源ごみ,スキーキャリア（金属製）,,す
資源ごみ,スキャナー,,す
資源ごみ,スケートボード,,す
資源ごみ,スコップ（金属製）,,す
資源ごみ,硯（すずり）,,す
資源ごみ,すだれ（竹製・プラスチック製・７０㎝超）,１辺７０㎝以下に裁断すれば、燃やすごみ,す
資源ごみ,スタンドミラー（７０㎝以下）,,す
資源ごみ,スチール缶,ひと洗いする・つぶさない・たばこの吸いがらなどを入れない,す
資源ごみ,ステレオセット（７０㎝以下）,,す
資源ごみ,ストーブ,,す
資源ごみ,ストーブガード,,す
資源ごみ,スノーダンプ（金属以外・７０㎝超）,,す
資源ごみ,スノーダンプ（金属製）,,す
資源ごみ,スノーボード（７０㎝以下）,,す
資源ごみ,すのこ（７０㎝超）,,す
資源ごみ,スピーカー（７０㎝以下）,,す
資源ごみ,スプーン（金属製）,,す
資源ごみ,スプレー缶,使い切ってから火気のない屋外で穴をあける,す
資源ごみ,ズボンプレッサー（７０㎝以下）,,す
資源ごみ,スリッパ立て（金属以外・７０㎝超）,,す
資源ごみ,スリッパ立て（金属製）,,す
資源ごみ,すり鉢,,す
資源ごみ,精米機（家庭用）,,せ
資源ごみ,石油ストーブ,油を抜いて電池を取る,せ
資源ごみ,石油タンク,油は抜く,せ
資源ごみ,石油ポンプ（電動式）,電池はとる,せ
資源ごみ,洗剤のキャップ（プラスチック製）,,せ
資源ごみ,洗濯ばさみ（金属製）,,せ
資源ごみ,洗濯用ハンガー（金属製）,,せ
資源ごみ,栓抜き（金属以外）,,せ
資源ごみ,栓抜き（金属製）,,せ
資源ごみ,扇風機（７０㎝以下）,,せ
資源ごみ,洗面器（金属製）,,せ
資源ごみ,洗面化粧台（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,せ
資源ごみ,双眼鏡,,そ
資源ごみ,惣菜のトレイ,スーパーの店頭回収をご利用ください,そ
資源ごみ,惣菜のプラスチック容器,,そ
資源ごみ,掃除機,,そ
資源ごみ,ソースのプラスチックボトル,キャップを外す,そ
資源ごみ,ソファー（７０㎝以下・スプリングあり）,,そ
資源ごみ,ソファーベッド（７０㎝以下・スプリングあり）,,そ
資源ごみ,体温計（水銀含む）,,た
資源ごみ,体温計（水銀を含まない）,電池はとる,た
資源ごみ,体重計(家庭用）,,た
資源ごみ,耐火金庫,おおむね５５㎏以上のものは市では収集できません,た
資源ごみ,台車,,た
資源ごみ,タイヤチェーン（金属製）,,た
資源ごみ,タイヤホイール,,た
資源ごみ,高枝切りばざみ（金属以外）,,た
資源ごみ,高枝切りばさみ（金属製）,,た
資源ごみ,卓上ボンベ(カセットコンロ用）,使い切ってから火気のない屋外で穴をあける,た
資源ごみ,竹馬（金属製）,,た
資源ごみ,竹馬（竹・木製、７０㎝超）,,た
資源ごみ,竹ぼうき（７０㎝超）,,た
資源ごみ,たばこの包装フィルム,,た
資源ごみ,卵パック(プラスチック製）,,た
資源ごみ,たまねぎのネット,,た
資源ごみ,たらい(金属製）,,た
資源ごみ,たる（７０㎝超）,,た
資源ごみ,たわし(金属製）,,た
資源ごみ,ダンベル（金属製）,,た
資源ごみ,チェーン（金属製）,,ち
資源ごみ,地球儀,,ち
資源ごみ,地上デジタルチューナー,,ち
資源ごみ,チャイルドシート,,ち
資源ごみ,茶碗,,ち
資源ごみ,チューナー,,ち
資源ごみ,チューブのキャップ（プラスチック製）,,ち
資源ごみ,調理台（７０㎝以下）,増改築に伴うものは請け負った業者に処分してもらう,ち
資源ごみ,ちりとり（金属製）,,ち
資源ごみ,ついたて（金属製）,,つ
資源ごみ,使い捨てカイロ,,つ
資源ごみ,机（金属製）,,つ
資源ごみ,漬けもの石（市販のもの）,,つ
資源ごみ,漬けもの桶,７０㎝以下なら燃やすごみ,つ
資源ごみ,つぼ,,つ
資源ごみ,釣りざお,,つ
資源ごみ,つるはし,,つ
資源ごみ,DVDプレーヤー,,て
資源ごみ,ディスプレイ（パソコン以外）,,て
資源ごみ,テーブル（金属製）,,て
資源ごみ,テープレコーダー,,て
資源ごみ,手押し車,「不用品」と必ず表示,て
資源ごみ,手鏡,,て
資源ごみ,手提げ金庫,,て
資源ごみ,デジタルカメラ,電池はとる,て
資源ごみ,デジタル血圧計,電池はとる,て
資源ごみ,鉄アレイ,,て
資源ごみ,鉄板（バーベキュー用）,,て
資源ごみ,鉄棒（子ども用遊具）,,て
資源ごみ,テニスラケット,,て
資源ごみ,テレビゲーム,,て
資源ごみ,テレビ台（金属製）,,て
資源ごみ,電気アンカ,,て
資源ごみ,電気カーペット（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,て
資源ごみ,電気かみそり,,て
資源ごみ,電気コード,,て
資源ごみ,電気こたつ（７０㎝以下）,,て
資源ごみ,電気炊飯器（内釜含む）,,て
資源ごみ,電気スタンド（「金属以外、７０㎝超」以外）,,て
資源ごみ,電気ストーブ,,て
資源ごみ,電気のこぎり,,て
資源ごみ,電気ポット,,て
資源ごみ,電気毛布（７０㎝以下）,広げたときに７０㎝を超えているものは、有料粗大ごみ,て
資源ごみ,電球,,て
資源ごみ,電気ランタン,電池は取る,て
資源ごみ,電子辞書,,て
資源ごみ,電磁調理器,,て
資源ごみ,電子手帳,,て
資源ごみ,電子レンジ,,て
資源ごみ,天体望遠鏡,,て
資源ごみ,電卓,,て
資源ごみ,テント（レジャー用）,,て
資源ごみ,点灯管,,て
資源ごみ,電動かんな,,て
資源ごみ,電動自転車,「不用品」と必ず表示・バッテリーは、リサイクル協力店へ　,て
資源ごみ,電動ドリル,,て
資源ごみ,電動のこぎり,,て
資源ごみ,テントの支柱（レジャー用、金属製）,,て
資源ごみ,電話機,,て
資源ごみ,電話台,,て
資源ごみ,ドア（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,と
資源ごみ,ドア（金属製）,増改築に伴うものは請け負った業者に処分してもらう,と
資源ごみ,トイレットペーパーの袋,,と
資源ごみ,砥石,,と
資源ごみ,陶器製食器（湯飲み・茶碗・皿など）,,と
資源ごみ,豆腐のプラスチック容器,,と
資源ごみ,灯油缶（プラスチック製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
資源ごみ,灯油缶（金属製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
資源ごみ,トースター,,と
資源ごみ,トロ箱,,と
資源ごみ,時計（壁掛け・目覚まし・腕）,,と
資源ごみ,戸棚（金属製）,,と
資源ごみ,トタン板,,と
資源ごみ,ドライバー,全体の８０％以上金属のものは、埋立ごみの日の金属へ,と
資源ごみ,ドラム缶（あき缶）,,と
資源ごみ,トランク（金属製）,,と
資源ごみ,トランシーバー,,と
資源ごみ,トランポリン（子ども用遊具）,,と
資源ごみ,鳥かご（金属製）,,と
資源ごみ,塗料容器（金属製）,中身が残っているものは市で収集しませんので専門業者に処分を依頼してください,と
資源ごみ,ドリンク剤のびん,キャップを外してひと洗い,と
資源ごみ,トレーニング機器（金属以外・７０㎝以下）,プラスチック製、ゴム製のものは燃やすごみ、電動のものは埋立ごみの日の金属へ,と
資源ごみ,トレーニング機器（金属製）,,と
資源ごみ,ドレッサー（７０㎝以下）,,と
資源ごみ,トロフィー,プラスチック製のものは、燃やすごみ,と
資源ごみ,ナイフ,刃を紙で包み「危険」と表示して、他のごみと分ける,な
資源ごみ,苗木ポット,,な
資源ごみ,流し台（７０㎝以下）,,な
資源ごみ,ながもち（７０㎝以下）,,な
資源ごみ,ナタ（鉈）,刃を紙で包み「危険」と表示して他のごみと分ける,な
資源ごみ,納豆の包装フィルム,,な
資源ごみ,ナツメ球,,な
資源ごみ,鍋（金属製）,,な
資源ごみ,鍋（耐熱ガラス製）,,な
資源ごみ,生ごみ処理機(家庭用・電気式）,,な
資源ごみ,なまり（釣り用おもり）,,な
資源ごみ,波板（金属製）,,な
資源ごみ,肉のトレイ,スーパーの店頭回収をご利用ください,に
資源ごみ,肉の包装フィルム,,に
資源ごみ,荷造り用ひもバンド（７０㎝超）,７０㎝以下に裁断すれば、燃やすごみ,に
資源ごみ,日本人形ケース,,に
資源ごみ,乳酸飲料のカップ容器,,に
資源ごみ,入浴剤のフタ（プラスチック製）,,に
資源ごみ,庭池,,に
資源ごみ,人形（ぬいぐるみ、７０㎝超）,,に
資源ごみ,人形ケース,,に
資源ごみ,ぬいぐるみ（７０㎝超）,,ぬ
資源ごみ,猫砂（粘土製）,,ね
資源ごみ,寝袋（７０㎝超）,,ね
資源ごみ,ねんど（学用品）,,ね
資源ごみ,農薬のびん（家庭菜園用）,中身が残っているものは市で収集できないので専門業者に処分を依頼,の
資源ごみ,ノートの包装フィルム,,の
資源ごみ,のこぎり,,の
資源ごみ,ノブ（ドア）,,の
資源ごみ,のみ（鑿）,,の
資源ごみ,海苔の缶（２５㎝以上）,,の
資源ごみ,海苔の缶（２５㎝未満）,,の
資源ごみ,海苔のプラスチック容器,,の
資源ごみ,ハードディスクドライブ（ＨＤＤ）,,は
資源ごみ,バーベキューコンロ,,は
資源ごみ,バーベル,,は
資源ごみ,ハーモニカ,,は
資源ごみ,灰皿（ガラス製・陶器製）,,は
資源ごみ,パイプいす（金属製）,,は
資源ごみ,はかり（料理用）,,は
資源ごみ,剥製（はくせい）,,は
資源ごみ,白熱球,,は
資源ごみ,バケツ（金属製）,,は
資源ごみ,はさみ（金属以外）,,は
資源ごみ,はさみ（金属製）,,は
資源ごみ,はしご（金属製）,,は
資源ごみ,柱時計,,は
資源ごみ,バスケットゴール（金属製）,,は
資源ごみ,パソコン机（金属製）,,は
資源ごみ,パソコン用キーボード,,は
資源ごみ,パソコン用プリンター,,は
資源ごみ,パソコン用ラック（金属製）,,は
資源ごみ,ハチミツのびん,キャップを外してひと洗い,は
資源ごみ,パチンコ・スロット台（個人用）,,は
資源ごみ,バッテリー（携帯電話、電気製品）,なるべく、販売店に引き取りを依頼してください,は
資源ごみ,バット（木製、７０㎝超）,,は
資源ごみ,バット（金属製）,,は
資源ごみ,花台（金属以外、７０㎝超）,,は
資源ごみ,花台（金属製）,,は
資源ごみ,パネルヒーター,,は
資源ごみ,歯ブラシ（電動）,電池はとる,は
資源ごみ,針,紙で包み「危険」と表示,は
資源ごみ,針金,,は
資源ごみ,ハロゲンストーブ,,は
資源ごみ,ハンガー（金属製）,,は
資源ごみ,ハンガースタンド（金属製）,,は
資源ごみ,飯ごう,,は
資源ごみ,パンツプレス（７０㎝以下）,,は
資源ごみ,ハンドヘルドゲーム,,は
資源ごみ,ハンマー（金属製）,,は
資源ごみ,ハンマー（木製、７０㎝超）,,は
資源ごみ,ＰＰバンド（７０㎝超）,７０㎝以下に裁断すれば、燃やすごみ,ひ
資源ごみ,ビーチパラソル,,ひ
資源ごみ,ビー玉,,ひ
資源ごみ,ビールびん,酒屋さんなどへ返しましょう,ひ
資源ごみ,ひげそり（手動式）,刃を紙で包み「危険」と表示して他のごみと分ける,ひ
資源ごみ,ひげそり（電気式）,電池はとる,ひ
資源ごみ,ＶＩＣＳ（ビックス）ユニット,,ひ
資源ごみ,ビデオカメラ,電池はとる,ひ
資源ごみ,ビデオデッキ,,ひ
資源ごみ,ビニールシート（家庭菜園用）,,ひ
